36,PC 8359/2024,SSAN,"Aquisição de gêneros alimentícios – laticínios, para atender o programa de alimentação escolar e demais secretarias",Pregão,,10/02/24,12/16/24,"R$ 1.210.745,14","R$ 1.182.449,35",-,-,"R$ 28.295,79",-,,,,,,,Para prosseguimento após análise orçamentária ,02/26/25,CLMP,Vanessa
37,PC 7797/2024,SS,"Aquisição de medicamentos (comprimidos, capsulas e drágeas) de F a L",Pregão,,09/11/24,11/01/24,"R$ 8.733.680,88","R$ 7.383.467,72","R$ 421.941,59",-,"R$ 928.271,52",-,,,,,,,Para análise após adequações,02/04/25,CLMP,Vanessa
38,PC 9818/2024,SS,"Aquisição de gêneros alimentícios e suplementos alimentares quer restaram fracassados no PC 5016/2024, para atendimento de determinações judiciais diversas",Pregão,,10/18/24,10/29/24,"R$ 46.376,24","R$ 46.376,24",-,-,-,-,,,,,,,Para análise após adequações,02/19/25,CLMP,Vanessa
39,PC 7799/2024,SS,Aquisição de medicamentos (preparações líquidas) de G a V,Pregão,,09/11/24,10/01/24,"R$ 2.472.740,50","R$ 2.130.578,41","R$ 106.952,68",-,"R$ 234.412,65",-,,,,,,,Para análise após adequações,02/19/25,CLMP,Vanessa
40,PC 9904/2024,SS,"Aquisição de medicamentos (comprimidos, capsulas e drágeas) de M a P",Pregão,,11/27/24,12/06/24,"R$ 3.752.466,20","R$ 3.085.012,00","R$ 313.283,07",-,"R$ 354.171,12",-,,,,,,,Para análise após adequações,02/07/25,CLMP,Vanessa
41,PC 10419/2024,SS,"Contratação de empresa especializada em locação com instalação de concentradores de oxigênio, cilindros e equipamentos de oxigenoterapia, incluindo fornecimento de oxigênio (recarga), acessórios e manutenção preventiva e corretiva para atendimento domiciliar aos pacientes pertencentes ao POD ",Pregão,,12/11/24,12/18/24,,,,,,,,,,,,,Para análise após adequações,02/17/25,CLMP,Vanessa
42,PC 2394/2025,SG,Aquisição de Água mineral natural e galões vazios para atender o consumo de todas as unidades administrativas da PMM,Pregão,,04/01/25,04/02/25,,,,,,,,,,,,,Para instrução,04/01/25,CLMP,Maíra
43,PC 8418/2024,SSP,"Locação e instalação de campo especializado (estande de tiros), destinado à realização do estágio de qualificação profissional anual (EQP) dos agentes da guarda civil municipal de Mauá ",Dispensa,,10/03/24,10/08/24,"R$ 48.039,99","R$ 48.039,99",-,-,-,-,,,,,,,Para análise após adequações,02/11/25,CLMP,Vanessa
44,PC 699/2025,SE ,Contratação de empresa para eventual fornecimento de eletrodomésticos e eletroeletrônicos para a SE,Pregão,,01/29/25,03/10/25,,,,,,,,,,,,,Para análise e distribuição interna,03/10/25,CLMP,Vanessa
45,PC 558/2025,SS,Contratação de empresa – confecção de talonário de notificação de receita tipo b (azul),Pregão,,01/23/25,02/11/25,"R$ 4.099,29","R$ 4.099,29",-,-,-,-,,,,,,,Para análise e distribuição interna,02/11/25,CLMP,Vanessa
46,PC 7795/2024,SS,"Aquisição de medicamentos (comprimidos, capsulas e drágeas) de A a B",Pregão,,09/11/24,10/14/24,"R$ 7.664.566,69","R$ 6.442.951,76","R$ 381.754,64",-,"R$ 839.860,19",-,PE RP 076/2024,12/18/24,01/13/25,,,,Aberta a licitação ,01/13/25,CLMP,Vanessa
47,PC 10427/2024,SG,"Aquisição de materiais de escritório, papelaria e itens análogos",Pregão,,12/12/24,12/12/24,,,,,,,,,,,,,Em instrução,03/31/25,CLMP,Maíra
48,PC 50507/2023,SG,"Aquisição de capas “ordem de pagamento”, destinadas a divisão de execução orçamentária ",Dispensa,,08/01/23,08/01/23,,,,,,,,,,,,,Em instrução,03/31/25,CLMP,Maíra
49,PC 8608/2024,SSAN,Aquisição gêneros alimentícios – estocáveis ,Pregão,,10/09/24,12/04/24,"R$ 8.780.216,12","R$ 8.699.434,76",-,-,"R$ 80.781,36",-,,,,,,,Para análise após adequações,04/02/25,CLMP,Vanessa 
50,PC 9248/2024,SS,Aquisição de Materiais de Enfermagem – Agulhas ,Pregão,,10/31/24,11/12/24,"R$ 21.332,22","R$ 21.332,22",-,-,-,-,,,,,,,Para publicação do edital ,04/02/25,CLMP,Vanessa 
51,PA 802/2025,SSP,Locação de imóvel destinado ao 1º distrito de polícia de Mauá ,Inexigibilidade,,02/03/25,04/01/25,"R$ 2.724.435,00","R$ 2.724.435,00",-,-,-,-,,,,"R$ 2.724.435,00",,,Para elaboração de contrato/ ata,04/02/25,CLMP,Angela
52,PC 4602/2024,SSU ,Aquisição de Cimento ,Pregão,,05/23/24,05/28/24,"R$ 137.536,80","R$ 137.536,80",-,-,-,-,PE RP 37/2024,10/29/24,11/20/24,"R$ 30.000,00",Ata 029/2025,02/24/26,Encaminhado a pedido,04/02/25,SSU,SSU
53,PC 8874/2024,SG,Locação de veículos adaptados – serviço funerário,Pregão,,10/18/24,12/12/24,,,,,,,,,,,,,Para análise após adequações,04/02/25,CLMP,André
54,PC 7017/2024,SS,Locação de câmara fria,Pregão,,08/15/24,08/21/24,"R$ 61.266,07","R$ 61.266,07",-,-,-,-,,,,,,,Para análise após adequações,04/02/25,CLMP,Vanessa 
55,PC 3528/2024,SS,"Aquisição de medicamentos – comprimidos, cápsulas e drágeas (demanda judicial)",Pregão,,04/22/24,05/09/24,"R$ 51.036,36","R$ 51.036,36",-,-,-,-,PE RP 055/2024,03/20/25,04/01/25,,,,Encaminhado para providências (fracassado),04/02/25,SS,SS
