21,4881/2024,SSAN,Aquisição de gêneros alimentícios – bebidas prontas para consumo,Pregão,Alta,04/06/2024,22/08/2024,"R$ 3.595.744,19","R$ 3.413.170,81",-,-,"R$ 182.573,38",-,PE RP 005/2025,26/02/2025,13/03/2025,,,,,Para prosseguimento após análise de amostras/ laudos,12/05/2025,CLMP,Vanessa
22,5799/2024,SS,Aquisição de kit enxoval e bolsa maternidade,Pregão,Baixa,03/07/2024,01/10/2024,"R$ 2.098.899,00","R$ 2.098.899,00",-,-,-,-,,,,,,,,Encaminhado a pedido,08/05/2025,SS,SS
23,860/2024,SS,Aquisição de lanceta estéril,Pregão,Alta,29/01/2024,28/02/2024,"R$ 530.400,00",-,"R$ 530.400,00",-,-,-,PE RP 018/2024,14/08/2024,26/08/2024,"R$ 447.000,00",Ata 048/2025,30/03/2025,3043/2025 e 3045/2025,Finalizado – processo(s) de gerenciamento da ata encaminhado(s) à secretaria,23/04/2025,SS,SS
24,7457/2024,SAS,Aquisição de microcomputadores e notebooks,Pregão,Alta,30/08/2024,11/09/2024,"R$ 419.723,64",-,"R$ 30.290,50",-,"R$ 389.433,14",-,PE 068/2024,03/12/2024,16/12/2024,"R$ 384.023,40",,,,Aguardando assinatura da homologação,05/03/2025,CLMP,Maria
25,5489/2024,STRE,Contratação de empresa - manutenção corretiva e preventiva de máquinas de costura,Pregão,Baixa,24/06/2024,15/10/2024,"R$ 23.120,00","R$ 23.120,00",-,-,-,-,,,,,,,,Encaminhado para adequações,07/04/2025,STRE,STRE
26,8959/2024,SS,Aquisição de material de enfermagem – equipos para bomba de infusão,Pregão,Alta,21/10/2024,13/12/2024,"R$ 127.620,00","R$ 127.620,00",-,-,-,-,,,,,,,,Encaminhado para emissão de parecer jurídico,05/05/2025,SAJ,SAJ
27,9958/2024,SS,Aquisição de sondas de gastrostomia para atendimento de ação judicial,Pregão,Alta,27/11/2024,06/01/2025,"R$ 2.118,00","R$ 2.118,00",-,-,-,-,,,,,,,,Para publicação de edital,09/05/2025,CLMP,Vanessa
28,10664/2024,SS,"Aquisição de medicamentos (comprimidos, capsulas e drágeas) de R a V",Pregão,Alta,19/12/2024,14/01/2025,"R$ 1.546.550,06","R$ 1.634.336,18","R$ 73.155,13",-,"R$ 160.941,29",-,,,,,,,,Encaminhado para adequações,08/05/2025,SS,SS
29,223/2025,SAS,Aquisição de kit alimentar emergencial,Pregão,Alta,09/01/2025,18/02/2025,"R$ 1.703.165,94","R$ 1.315.282,51","R$ 387.337,43",-,-,-,,,,,,,,Para prosseguimento após parecer jurídico,13/05/2025,CLMP,Sara
30,8897/2024,SE,Contratação de empresa para fornecimento de colchonetes e tatames ,Pregão,Baixa,18/10/2024,29/11/2024,"R$ 469.808,00","R$ 469.808,00",-,-,-,-,PE RP 010/2025,17/03/2025,27/03/2025,,,,,Encaminhado para exame de conveniência e oportunidade,12/05/2025,GP,GP
31,9464/2024,SS,"Aquisição de domissanitários raticidas e inseticidas a serem utilizados pela equipe da gerência de zoonose no programa de controle de roedores, animais peçonhentos e sinantrópicos indesejáveis",Pregão,Alta,08/11/2024,19/11/2024,"R$ 75.026,25",-,-,-,"R$ 75.026,25",-,PE RP 016/2025,14/04/2025,29/04/2025,,,,,Encaminhado para análise técnica,06/05/2025,SS,SS
32,9464/2024,SS,"Aquisição de EPIS para controle de himenópteros e nebulização, para utilização das equipes da gerência de zoonoses",Pregão,Alta,21/06/2024,28/06/2024,"R$ 108.608,49",-,-,-,"R$ 108.608,49",-,PE RP 014/2025,14/04/2025,30/04/2025,,,,,Encaminhado para análise de amostras/laudos,06/05/2025,SS,SS
33,9630/2024,SSU,Aquisição de urnas e artigos funerários para atendimentos de demandas municipais,Pregão,Média,18/11/2024,12/02/2024,"R$ 84.031,24","R$ 84.031,24",-,-,-,-,PE RP 019/2025,23/04/2025,08/05/2025,,,,,Encaminhado para análise técnica,08/05/2025,SSU,SSU
34,8919/2024,SS,"Aquisição medicamentos (classificação – insulinas análogas) destinadas ao atendimento de demandas judiciais diversas, que restaram desertos e fracassados no PC 3233/2024 em 30/08/24 e novamente em 25/09/24 o certame restou deserto",Dispensa,Alta,18/10/2024,06/11/2024,"R$ 17.777,55","R$ 17.777,55",-,-,-,-,,,,,,,,Encaminhado para providências (deserto),13/05/2025,SS,SS
35,9064/2024,SS,"Aquisição de medicamentos injetáveis – A a G, para abastecimento da rede de saúde",Pregão,Alta,23/10/2024,05/11/2024,"R$ 8.352.393,19","R$ 7.725.486,86","R$ 195.908,19",-,"R$ 430.998,05",-,PE RP 018/2025,24/04/2025,13/05/2025,,,,,Licitação em andamento,13/05/2025,CLMP,Arina
36,8359/2024,SSAN,"Aquisição de gêneros alimentícios – laticínios, para atender o programa de alimentação escolar e demais secretarias",Pregão,Alta,02/10/2024,16/12/2024,"R$ 1.210.745,14","R$ 1.182.449,35",-,-,"R$ 28.295,79",-,PE RP 017/2025,25/04/2025,12/05/2025,,,,,Aguardando abertura da licitação,25/04/2025,CLMP,Arina
37,7797/2024,SS,"Aquisição de medicamentos (comprimidos, capsulas e drágeas) de F a L",Pregão,Alta,11/09/2024,01/11/2024,"R$ 8.733.680,88","R$ 7.383.467,72","R$ 421.941,59",-,"R$ 928.271,52",-,,,,,,,,Para análise após adequações,04/02/2025,CLMP,Vanessa
38,9818/2024,SS,"Aquisição de gêneros alimentícios e suplementos alimentares quer restaram fracassados no PC 5016/2024, para atendimento de determinações judiciais diversas",Pregão,Alta,18/10/2024,29/10/2024,"R$ 46.376,24","R$ 46.376,24",-,-,-,-,,,,,,,,Para análise após adequações,19/02/2025,CLMP,Vanessa
39,7799/2024,SS,Aquisição de medicamentos (preparações líquidas) de G a V,Pregão,Alta,11/09/2024,01/10/2024,"R$ 2.472.740,50","R$ 2.130.578,41","R$ 106.952,68",-,"R$ 234.412,65",-,,,,,,,,Encaminhado para emissão de parecer jurídico,12/05/2025,SAJ,SAJ
40,9904/2024,SS,"Aquisição de medicamentos (comprimidos, capsulas e drágeas) de M a P",Pregão,Alta,27/11/2024,06/12/2024,"R$ 3.752.466,20","R$ 3.085.012,00","R$ 313.283,07",-,"R$ 354.171,12",-,,,,,,,,Para análise após adequações,07/02/2025,CLMP,Vanessa
41,10419/2024,SS,"Contratação de empresa especializada em locação com instalação de concentradores de oxigênio, cilindros e equipamentos de oxigenoterapia, incluindo fornecimento de oxigênio (recarga), acessórios e manutenção preventiva e corretiva para atendimento domiciliar aos pacientes pertencentes ao POD",Pregão,Alta,11/12/2024,18/12/2024,"R$ 2.881.166,80","R$ 1.805.578,00","R$ 1.075.588,80",-,-,-,,,,,,,,Para prosseguimento após parecer jurídico,28/04/2025,CLMP,Vanessa
42,2394/2025,SG,Aquisição de Água mineral natural e galões vazios para atender o consumo de todas as unidades administrativas da PMM,Pregão,Alta,01/04/2025,02/04/2025,"R$ 639.162,58","R$ 639.162,58",-,-,-,-,PE RP 022/2025,30/04/2025,15/05/2025,,,,,Aguardando abertura da licitação,30/04/2025,CLMP,Vanessa
43,8418/2024,SSP,"Locação e instalação de campo especializado (estande de tiros), destinado à realização do estágio de qualificação profissional anual (EQP) dos agentes da guarda civil municipal de Mauá",Dispensa,Baixa,03/10/2024,08/10/2024,"R$ 48.039,99","R$ 48.039,99",-,-,-,-,,,,,,,,Para análise após adequações,11/02/2025,CLMP,Vanessa
44,699/2025,SE,Contratação de empresa para eventual fornecimento de eletrodomésticos e eletroeletrônicos para a SE,Pregão,Média,29/01/2025,10/03/2025,,,,,,,,,,,,,,Para pesquisa de preços,13/05/2025,CLMP,Sônia
45,558/2025,SS,Contratação de empresa – confecção de talonário de notificação de receita tipo b (azul),Pregão,Baixa,23/01/2025,11/02/2025,"R$ 4.099,29","R$ 4.099,29",-,-,-,-,,,,,,,,Para análise do agente de contratação,11/02/2025,CLMP,Vanessa
46,7795/2024,SS,"Aquisição de medicamentos (comprimidos, capsulas e drágeas) de A a B",Pregão,Alta,11/09/2024,14/10/2024,"R$ 7.664.566,69","R$ 6.442.951,76","R$ 381.754,64",-,"R$ 839.860,19",-,PE RP 076/2024,18/12/2024,13/01/2025,,,,,Licitação em andamento,13/01/2025,CLMP,Vanessa
47,10427/2024,SG,"Aquisição de materiais de escritório, papelaria e itens análogos",Pregão,Média,12/12/2024,12/12/2024,,,,,,,,,,,,,,Em instrução,31/03/2025,CLMP,Maíra
48,50507/2023,SG,"Aquisição de capas “ordem de pagamento”, destinadas a divisão de execução orçamentária",Dispensa,Baixa,01/08/2023,01/08/2023,,,,,,,,,,,,,,Em instrução,31/03/2025,CLMP,Maíra
49,8608/2024,SSAN,Aquisição gêneros alimentícios – estocáveis,Pregão,Alta,09/10/2024,04/12/2024,"R$ 8.780.216,12","R$ 8.699.434,76",-,-,"R$ 80.781,36",-,,,,,,,,Encaminhado para emissão de parecer jurídico,06/05/2025,SAJ,SAJ
50,9248/2024,SS,Aquisição de Materiais de Enfermagem – Agulhas,Pregão,Média,31/10/2024,12/11/2024,"R$ 21.332,22","R$ 21.332,22",-,-,-,-,,,,,,,,Para publicação de edital,02/04/2025,CLMP,Vanessa
51,802/2025,SSP,Locação de imóvel destinado ao 1º distrito de polícia de Mauá,Inexigibilidade,Baixa,03/02/2025,01/04/2025,"R$ 2.724.435,00","R$ 2.724.435,00",-,-,-,-,N/A,N/A,N/A,"R$ 2.724.435,00",Contrato 09/2025,07/04/2030,802/2025,Finalizado – processo encaminhado à secretaria para gerenciamento do contrato,17/04/2025,SSP,SSP
52,4602/2024,SSU,Aquisição de Cimento,Pregão,Média,23/05/2024,28/05/2024,"R$ 137.536,80","R$ 137.536,80",-,-,-,-,PE RP 37/2024,29/10/2024,20/11/2024,"R$ 30.000,00",Ata 029/2025,24/02/2026,,Encaminhado a pedido,02/04/2025,SSU,SSU
53,8874/2024,SG,Locação de veículos adaptados – serviço funerário,Pregão,Alta,18/10/2024,12/12/2024,"R$ 1.829.730,00","R$ 1.829.730,00",-,-,-,-,PE 025/2025,,,,,,,Encaminhado para assinatura do Edital,08/05/2025,SSU,SSU
54,7017/2024,SS,Locação de câmara fria,Pregão,Alta,15/08/2024,21/08/2024,"R$ 61.266,07",-,-,-,"R$ 61.266,07",-,,,,,,,,Encaminhado para adequações,14/04/2025,SS,SS
55,3528/2024,SS,"Aquisição de medicamentos – comprimidos, cápsulas e drágeas (demanda judicial)",Pregão,Alta,22/04/2024,09/05/2024,"R$ 51.036,36","R$ 51.036,36",-,-,-,-,PE RP 055/2024,20/03/2025,01/04/2025,,,,,Encaminhado para providências (fracassado),02/04/2025,SS,SS
56,2984/2024,SS,Materiais médicos hospitalares diversos para atendimento de demandas judiciais diversas,Pregão,Alta,05/04/2024,17/04/2024,"R$ 417.624,91","R$ 417.624,91",-,-,-,-,PE RP 065/2024,27/11/2024,09/12/2024,"R$ 220.226,53",,,,Para formalização de contrato/ ata,08/05/2025,CLMP,André
57,7391/2024,SS,"Aquisição de envelope individual, pasta familiar e cartão de agendamento para UBS e serviço de saúde da atenção especializada",Pregão,Baixa,30/08/2024,10/09/2024,"R$ 643.438,40","R$ 643.438,40",-,-,-,-,,,,,,,,Encaminhado para emissão de parecer jurídico,05/05/2025,SAJ,SAJ
58,10576/2024,SG,"Contratação de empresa especializada em serviços de agenciamento de viagens aéreas e hospedagens em hotéis (nacionais e internacionais), visando o atendimento às secretarias municipais e demais órgãos da Administração Pública",Pregão,Alta,17/12/2024,17/12/2024,,,,,,,,,,,,,,Recebido da Agatha para continuação,03/04/2025,CLMP,Nilva
59,8588/2024,SG,Credenciamento de leiloeiros oficiais para a alienação de bens.,Chamamento,Alta,08/10/2024,09/10/2024,,,,,,,,,,,,,,Recebido da Agatha para continuação,03/04/2025,CLMP,Nilva
60,8083/2024,SSAN,Aquisição de gêneros alimentícios – Carnes,Pregão,Alta,20/09/2024,27/11/2024,"R$ 5.575.342,15","R$ 5.052.390,07",-,-,"R$ 522.952,08",-,PE RP 004/2025,24/02/2025,11/03/2025,"R$ 5.125.250,70",Ata 051/2025 e  052/2025,14/04/2026,2950/2025 e 2952/2025,Finalizado – processo(s) de gerenciamento da ata encaminhado(s) à secretaria,22/04/2025,SSAN,SSAN
61,9698/2024,SSAN,Aquisição gêneros alimentícios – Hortaliças,Pregão,Alta,21/11/2024,12/12/2024,"R$ 1.755.190,09","R$ 1.736.476,12",-,-,"R$ 18.713,97",-,PE RP 013/2025,14/04/2025,29/04/2025,,,,,Para homologação e AUDESP,13/05/2025,CLMP,Maria
62,5630/2024,STRE,Contratação de empresa – confecção e instalação de objetos de identificação visual – posto SINE casa do trabalhador,Dispensa,Alta,28/06/2024,12/08/2024,"R$ 13.220,69",-,-,-,"R$ 13.220,69",-,DE 005/2025,14/04/2025,22/04/2025,,,,,Para homologação e AUDESP,08/05/2025,CLMP,Valter
63,5989/2024,SE,Contratação de empresa – eventual fornecimento de equipamentos de proteção individual e uniformes para profissionais das cozinhas das unidades escolares,Pregão,Média,15/07/2024,17/07/2024,"R$ 345.061,26","R$ 345.061,26",-,-,-,-,PE RP 067/2024,05/12/2024,18/12/2024,,,,,Para homologação e AUDESP,08/05/2025,CLMP,Maria
64,10420/2024,SS,Aquisição de Termo de Notificação Preliminar – Vigilância Sanitária,Dispensa,Baixa,11/12/2024,16/12/2024,,,,,,,,,,,,,,Encaminhado para adequações,04/04/2025,SS,SS
65,7054/2024,SS,Aquisição de medicamentos para abastecimento da rede de saúde e demandas judiciais – classificação insulinas análogas,Pregão,Alta,19/08/2024,27/08/2024,"R$ 3.219,70","R$ 3.219,70",-,-,-,-,PE RP 011/2025,20/03/2025,01/04/2024,"R$ 117.831,00",,,,Para abertura de processos de gerenciamento,08/05/2025,CLMP,Valter
66,9650/2024,SSAN,Contratação de empresa – serviços de buffet (coffee break e brunch) para atendimentos das demandas das secretarias do município,Pregão,Alta,19/11/2024,27/01/2025,"R$ 251.429,99","R$ 251.429,99",-,-,-,-,PE RP 020/2025,23/04/2025,08/05/2025,,,,,Encaminhado para análise técnica,12/05/2025,SSAN,SSAN
67,10479/2024,SS,Aquisição de material de enfermagem – luvas de procedimentos e cirúrgica,Pregão,Alta,05/12/2024,23/12/2024,"R$ 1.463.069,48","R$ 1.463.069,48",-,-,-,-,,,,,,,,Para prosseguimento após parecer jurídico,07/04/2025,CLMP,Sara
68,1939/2025,SS,"Aquisição de material de enfermagem diversos, para atendimento da rede de saúde",Pregão,Média,18/03/2025,07/04/2025,"R$ 558.004,22","R$ 558.004,22",-,-,-,-,,,,,,,,Para análise do agente de contratação,14/04/2025,CLMP,Arina
69,1940/2025,SS,"Aquisição de material de enfermagem diversos, para atendimento da rede de saúde",Pregão,Média,18/03/2025,07/04/2025,"R$ 178.647,93","R$ 178.647,93",-,-,-,-,,,,,,,,Para análise do agente de contratação,14/04/2025,CLMP,Arina
70,7092/2024,CGM,"Contratação de empresa – serviços técnicos de consultoria especializada para orientação nas áreas temáticas da PMM, que compõem o IEG - M (índice de efetividade da gestão municipal) do TCESP",Dispensa,Baixa,20/08/2024,05/09/2024,"R$ 56.333,33","R$ 56.333,33",-,-,-,-,DE 003/2025,26/03/2025,03/04/2025,"R$ 51.000,00",Contrato n° 11/2025,28/10/2025,7092/2024,Finalizado – processo encaminhado à secretaria para gerenciamento do contrato,30/04/2025,CGM,CGM
71,4514/2024,SG,Aquisição de peças e periféricos de informática para manutenção corretiva e upgrade de computadores,Pregão,Baixa,23/05/2024,20/06/2024,"R$ 291.447,49","R$ 291.447,49",-,-,-,-,PE RP 007/2025,06/03/2025,19/03/2025,"R$ 58.032,00",,,,Para formalização de contrato/ ata,08/05/2025,CLMP,Angela
72,2002/2025,SF,"Contratação de empresa – serviços de licenciamento de uso temporário de sistema para modernização da administração tributária municipal, incluindo implantação, conversão, treinamento, suporte e manutenção",Pregão,Alta,19/03/2024,24/03/2024,,,,,,,,,,,,,,Encaminhado para ratificação da pesquisa de preços,05/05/2025,SF,SF
73,1454/2025,SPDC,Aquisição de impressos – formulários de ocorrência destinados à SPDC,Dispensa,Alta,27/02/2025,06/03/2025,,,,,,,,,,,,,,Para análise após adequações,30/04/2025,CLMP,Vanessa
74,9391/2024,SMA,Aquisição de medicamentos/ insumos de uso veterinário,Pregão,Baixa,07/11/2024,25/11/2024,"R$ 21.916,35","R$ 21.916,35",-,-,-,-,,,,,,,,Encaminhado para emissão de parecer jurídico,07/05/2025,SAJ,SAJ
75,7577/2024,SS,"Aquisição de ambulância tipo A, simples remoção – tipo furgão",Pregão,Alta,04/09/2024,13/09/2024,"R$ 287.625,00",-,-,-,"R$ 287.625,00",-,PE RP 015/2025,,,,,,,Para análise e distribuição (novo TR),08/05/2025,CLMP,Vanessa
76,9750/2024,SS,Aquisição para registro de preços de materiais de enfermagem – frascos e equipos para dietas enterais e parenterais por item,Pregão,Média,25/11/2024,25/03/2025,"R$ 494.295,00","R$ 494.295,00",-,-,-,-,,,,,,,,Encaminhado para adequações,08/05/2025,SS,SS
77,10480/2024,SS,Aquisição de material de enfermagem – materiais para punção venosa,Pregão,Média,05/12/2024,14/03/2024,"R$ 1.077.735,13","R$ 1.077.735,13",-,-,-,-,,,,,,,,Para análise após adequações,24/04/2025,CLMP,André
78,1031/2025,SS,"Aquisição de medicamentos (psicotrópicos) de F a M, que restaram desertos e fracassados no PC 4352/2024, para atendimento da rede de saúde e demandas judiciais",Pregão,Alta,11/02/2025,21/02/2024,"R$ 211.220,19","R$ 211.220,19",-,-,-,-,,,,,,,,Para prosseguimento após parecer jurídico,09/05/2025,CLMP,Sara
79,1316/2025,SS,"Aquisição de medicamentos (psicotrópicos) de N a V, para atendimento da rede de saúde e demandas judiciais",Pregão,Alta,21/02/2025,12/03/2025,"R$ 490.186,99","R$ 490.186,99",-,-,-,-,,,,,,,,Para prosseguimento após parecer jurídico,09/05/2025,CLMP,Nice
80,1317/2025,SS,"Aquisição de medicamentos (saneantes), para distribuição na rede de saúde",Pregão,Alta,21/02/2025,11/03/2025,"R$ 769.218,06","R$ 654.355,27","R$ 35.909,05",-,"R$ 78.953,71",-,,,,,,,,Encaminhado para adequações,07/05/2025,SS,SS
81,1544/2025,SSAN,Aquisição de Kit lanche - alimentação escolar e demandas das secretarias,Pregão,Alta,25/02/2025,26/03/2025,"R$ 7.040.423,00","R$ 5.542.571,65",-,-,"R$ 1.497.851,35",-,,,,,,,,Para análise após adequações,12/05/2025,CLMP,Arina
82,1667/2025,SS,"Aquisição de medicamentos (psicotrópicos) de A a F, que restaram desertos e fracassados no PC 4352/2024 e 5962/2024, para atendimento da rede de saúde e demandas judiciais",Pregão,Alta,07/03/2025,19/03/2025,"R$ 238.895,92","R$ 201.183,00","R$ 11.785,28",-,"R$ 25.927,62",-,,,,,,,,Encaminhado para emissão de parecer jurídico,07/05/2025,SAJ,SAJ
83,1833/2025,SS,"Aquisição de termo hidrômetros digitais (com certificado de calibração), para almoxarifado da saúde e unidades básicas",Pregão,Alta,12/03/2025,26/03/2025,"R$ 10.717,56",-,-,-,"R$ 10.717,56",-,,,,,,,,Para análise do agente de contratação,10/04/2025,CLMP,Arina
84,2133/2025,SS,"Aquisição de medicamento carbamazepina, para abastecimento da rede",Pregão,Alta,21/03/2025,01/04/2025,"R$ 1.264.690,00","R$ 1.062.339,60","R$ 63.234,50",-,"R$ 139.115,90",-,,,,,,,,Para prosseguimento após parecer jurídico,09/05/2025,CLMP,Sara
85,7155/2024,SE,Aquisição de kits de uniformes escolares para serem utilizados pelos alunos da rede municipal de educação de Mauá,Pregão,Alta,22/08/2024,17/09/2024,"R$ 5.031.914,26","R$ 4.721.675,16",-,-,"R$ 310.239,10",-,PE RP 003/2024,19/02/2025,07/03/2025,"R$ 4.436.880,00",,,,Para formalização de contrato/ ata,13/05/2025,CLMP,Iara
86,10394/2024,SS,Aquisição de medicamento (rifaximina 500 mg) em atendimento de determinação judicial,Dispensa,Alta,09/12/2024,20/12/2024,"R$ 18.848,08","R$ 18.848,08",-,-,-,-,DE 007/2025,05/05/2025,09/05/2025,,,,,Encaminhado para providências (fracassado),09/05/2025,SS,SS
87,1032/2025,SS,"Contratação da empresa FURP para fornecimento de medicamentos, destinados ao atendimento da rede de saúde e demandas judiciais, por 12 meses",Dispensa,Alta,11/02/2025,07/03/2025,"R$ 84.650,00","R$ 71.106,00","R$ 4.232,50",-,"R$ 9.311,50",-,,,,,,,,Para prosseguimento após ratificação do Prefeito,23/04/2025,CLMP,Angela
88,1938/2025,SS,"Aquisição de material de enfermagem diversos, destinados ao atendimento da rede de saúde",Pregão,Alta,18/03/2025,09/04/2025,"R$ 731.922,33",-,"R$ 731.922,33",-,-,-,,,,,,,,Para análise do agente de contratação,14/04/2025,CLMP,Nice
